num,max,min,type,time
100,100,0,hash,5866
100,125,0,hash,5154
100,158,0,hash,5110
100,199,0,hash,5028
100,251,0,hash,5145
100,316,0,hash,5210
100,398,0,hash,5083
100,501,0,hash,5032
100,630,0,hash,5084
100,794,0,hash,5054
100,1000,0,hash,4870
100,1258,0,hash,4930
100,1584,0,hash,5002
100,1995,0,hash,4823
100,2511,0,hash,4862
100,3162,0,hash,4962
100,3981,0,hash,4938
100,5011,0,hash,4761
100,6309,0,hash,4692
100,7943,0,hash,4734
100,10000,0,hash,4867
100,12589,0,hash,4657
100,15848,0,hash,4644
100,19952,0,hash,4662
100,25118,0,hash,4672
100,31622,0,hash,4817
100,39810,0,hash,4835
100,50118,0,hash,4802
100,63095,0,hash,4843
100,79432,0,hash,4839
10000,10000,0,hash,5687
10000,12589,0,hash,2025
10000,15848,0,hash,1740
10000,19952,0,hash,1668
10000,25118,0,hash,1586
10000,31622,0,hash,1523
10000,39810,0,hash,1506
10000,50118,0,hash,1472
10000,63095,0,hash,1446
10000,79432,0,hash,1443
10000,100000,0,hash,1440
10000,125892,0,hash,1446
10000,158489,0,hash,1410
10000,199526,0,hash,1496
10000,251188,0,hash,1486
10000,316227,0,hash,1439
10000,398107,0,hash,1425
10000,501187,0,hash,1429
10000,630957,0,hash,1427
10000,794328,0,hash,1394
10000,1000000,0,hash,1435
10000,1258925,0,hash,1439
10000,1584893,0,hash,1424
10000,1995262,0,hash,1402
10000,2511886,0,hash,1425
10000,3162277,0,hash,1434
10000,3981071,0,hash,1436
10000,5011872,0,hash,1534
10000,6309573,0,hash,1461
10000,7943282,0,hash,1431
1000000,1000000,0,hash,40253
1000000,1258925,0,hash,8096
1000000,1584893,0,hash,7034
1000000,1995262,0,hash,6398
1000000,2511886,0,hash,5947
1000000,3162277,0,hash,5825
1000000,3981071,0,hash,5780
1000000,5011872,0,hash,5683
1000000,6309573,0,hash,5698
1000000,7943282,0,hash,5604
1000000,10000000,0,hash,5500
1000000,12589254,0,hash,5608
1000000,15848931,0,hash,5429
1000000,19952623,0,hash,5302
1000000,25118864,0,hash,5561
1000000,31622776,0,hash,5318
1000000,39810717,0,hash,5462
1000000,50118723,0,hash,5622
1000000,63095734,0,hash,5327
1000000,79432823,0,hash,5293
1000000,100000000,0,hash,5447
1000000,125892541,0,hash,5448
1000000,158489319,0,hash,5488
1000000,199526231,0,hash,5625
1000000,251188643,0,hash,5432
1000000,316227766,0,hash,5553
1000000,398107170,0,hash,5550
1000000,501187233,0,hash,5488
1000000,630957344,0,hash,5601
1000000,794328234,0,hash,5743
100,100,0,unique,6302
100,125,0,unique,5030
100,158,0,unique,4607
100,199,0,unique,4445
100,251,0,unique,4353
100,316,0,unique,4334
100,398,0,unique,4304
100,501,0,unique,4262
100,630,0,unique,4270
100,794,0,unique,4401
100,1000,0,unique,4443
100,1258,0,unique,4414
100,1584,0,unique,4419
100,1995,0,unique,4400
100,2511,0,unique,4402
100,3162,0,unique,4439
100,3981,0,unique,4359
100,5011,0,unique,4351
100,6309,0,unique,4385
100,7943,0,unique,4338
100,10000,0,unique,4307
100,12589,0,unique,4287
100,15848,0,unique,4314
100,19952,0,unique,4237
100,25118,0,unique,4238
100,31622,0,unique,4260
100,39810,0,unique,4259
100,50118,0,unique,4267
100,63095,0,unique,4308
100,79432,0,unique,4314
10000,10000,0,unique,9603
10000,12589,0,unique,2601
10000,15848,0,unique,1546
10000,19952,0,unique,1402
10000,25118,0,unique,1299
10000,31622,0,unique,1222
10000,39810,0,unique,1180
10000,50118,0,unique,1157
10000,63095,0,unique,1098
10000,79432,0,unique,1082
10000,100000,0,unique,1098
10000,125892,0,unique,1021
10000,158489,0,unique,1003
10000,199526,0,unique,1056
10000,251188,0,unique,997
10000,316227,0,unique,990
10000,398107,0,unique,993
10000,501187,0,unique,1009
10000,630957,0,unique,970
10000,794328,0,unique,975
10000,1000000,0,unique,979
10000,1258925,0,unique,978
10000,1584893,0,unique,968
10000,1995262,0,unique,966
10000,2511886,0,unique,980
10000,3162277,0,unique,997
10000,3981071,0,unique,1016
10000,5011872,0,unique,956
10000,6309573,0,unique,969
10000,7943282,0,unique,986
1000000,1000000,0,unique,20974
1000000,1258925,0,unique,3394
1000000,1584893,0,unique,1882
1000000,1995262,0,unique,1755
1000000,2511886,0,unique,1639
1000000,3162277,0,unique,1544
1000000,3981071,0,unique,1453
1000000,5011872,0,unique,1495
1000000,6309573,0,unique,1375
1000000,7943282,0,unique,1335
1000000,10000000,0,unique,1363
1000000,12589254,0,unique,1300
1000000,15848931,0,unique,1287
1000000,19952623,0,unique,1292
1000000,25118864,0,unique,1268
1000000,31622776,0,unique,1280
1000000,39810717,0,unique,1260
1000000,50118723,0,unique,1274
1000000,63095734,0,unique,1257
1000000,79432823,0,unique,1218
1000000,100000000,0,unique,1270
1000000,125892541,0,unique,1223
1000000,158489319,0,unique,1223
1000000,199526231,0,unique,1233
1000000,251188643,0,unique,1212
1000000,316227766,0,unique,1236
1000000,398107170,0,unique,1269
1000000,501187233,0,unique,1215
1000000,630957344,0,unique,1235
1000000,794328234,0,unique,1315
100,100,0,select with hash,4436
100,125,0,select with hash,4535
100,158,0,select with hash,4744
100,199,0,select with hash,4799
100,251,0,select with hash,4777
100,316,0,select with hash,4853
100,398,0,select with hash,4938
100,501,0,select with hash,4902
100,630,0,select with hash,5016
100,794,0,select with hash,4974
100,1000,0,select with hash,5014
100,1258,0,select with hash,5065
100,1584,0,select with hash,4983
100,1995,0,select with hash,5032
100,2511,0,select with hash,5026
100,3162,0,select with hash,4995
100,3981,0,select with hash,5175
100,5011,0,select with hash,5297
100,6309,0,select with hash,5138
100,7943,0,select with hash,4991
100,10000,0,select with hash,5053
100,12589,0,select with hash,5029
100,15848,0,select with hash,4933
100,19952,0,select with hash,4974
100,25118,0,select with hash,5135
100,31622,0,select with hash,5105
100,39810,0,select with hash,4979
100,50118,0,select with hash,5048
100,63095,0,select with hash,4914
100,79432,0,select with hash,4927
10000,10000,0,select with hash,1171
10000,12589,0,select with hash,1259
10000,15848,0,select with hash,1266
10000,19952,0,select with hash,1283
10000,25118,0,select with hash,1364
10000,31622,0,select with hash,1535
10000,39810,0,select with hash,1548
10000,50118,0,select with hash,1558
10000,63095,0,select with hash,1590
10000,79432,0,select with hash,1543
10000,100000,0,select with hash,1548
10000,125892,0,select with hash,1563
10000,158489,0,select with hash,1612
10000,199526,0,select with hash,1631
10000,251188,0,select with hash,1590
10000,316227,0,select with hash,1581
10000,398107,0,select with hash,1578
10000,501187,0,select with hash,1568
10000,630957,0,select with hash,1582
10000,794328,0,select with hash,1577
10000,1000000,0,select with hash,1535
10000,1258925,0,select with hash,1516
10000,1584893,0,select with hash,1653
10000,1995262,0,select with hash,1551
10000,2511886,0,select with hash,1583
10000,3162277,0,select with hash,1568
10000,3981071,0,select with hash,1573
10000,5011872,0,select with hash,1570
10000,6309573,0,select with hash,1567
10000,7943282,0,select with hash,1568
1000000,1000000,0,select with hash,2826
1000000,1258925,0,select with hash,3416
1000000,1584893,0,select with hash,3572
1000000,1995262,0,select with hash,3756
1000000,2511886,0,select with hash,3992
1000000,3162277,0,select with hash,3794
1000000,3981071,0,select with hash,4005
1000000,5011872,0,select with hash,3953
1000000,6309573,0,select with hash,4075
1000000,7943282,0,select with hash,3944
1000000,10000000,0,select with hash,4275
1000000,12589254,0,select with hash,4153
1000000,15848931,0,select with hash,4190
1000000,19952623,0,select with hash,4134
1000000,25118864,0,select with hash,4280
1000000,31622776,0,select with hash,4268
1000000,39810717,0,select with hash,4171
1000000,50118723,0,select with hash,4199
1000000,63095734,0,select with hash,4221
1000000,79432823,0,select with hash,4271
1000000,100000000,0,select with hash,4255
1000000,125892541,0,select with hash,4242
1000000,158489319,0,select with hash,4251
1000000,199526231,0,select with hash,4256
1000000,251188643,0,select with hash,4328
1000000,316227766,0,select with hash,4197
1000000,398107170,0,select with hash,4543
1000000,501187233,0,select with hash,4585
1000000,630957344,0,select with hash,4812
1000000,794328234,0,select with hash,4626
