num,max,min,type,time
100,100,0,shuffle,3805
100,125,0,shuffle,3801
100,158,0,shuffle,3935
100,199,0,shuffle,3951
100,251,0,shuffle,4147
100,316,0,shuffle,4350
100,398,0,shuffle,4538
100,501,0,shuffle,4931
100,630,0,shuffle,5245
100,794,0,shuffle,5670
100,1000,0,shuffle,6187
100,1258,0,shuffle,6940
100,1584,0,shuffle,7801
10000,10000,0,shuffle,338
10000,12589,0,shuffle,399
10000,15848,0,shuffle,500
10000,19952,0,shuffle,614
10000,25118,0,shuffle,743
10000,31622,0,shuffle,922
10000,39810,0,shuffle,1128
10000,50118,0,shuffle,1430
10000,63095,0,shuffle,1766
10000,79432,0,shuffle,2190
10000,100000,0,shuffle,2812
10000,125892,0,shuffle,3573
10000,158489,0,shuffle,4517
10000,199526,0,shuffle,5725
10000,251188,0,shuffle,7293
10000,316227,0,shuffle,10426
1000000,1000000,0,shuffle,385
1000000,1258925,0,shuffle,482
1000000,1584893,0,shuffle,724
1000000,1995262,0,shuffle,1014
1000000,2511886,0,shuffle,1371
1000000,3162277,0,shuffle,1906
1000000,3981071,0,shuffle,2523
1000000,5011872,0,shuffle,3974
1000000,6309573,0,shuffle,5211
1000000,7943282,0,shuffle,6350
1000000,10000000,0,shuffle,8241
100,100,0,select,3919
100,125,0,select,3947
100,158,0,select,3938
100,199,0,select,3921
100,251,0,select,3931
100,316,0,select,3954
100,398,0,select,3938
100,501,0,select,3958
100,630,0,select,4004
100,794,0,select,4121
100,1000,0,select,4237
100,1258,0,select,4131
100,1584,0,select,4388
100,1995,0,select,4435
100,2511,0,select,4472
100,3162,0,select,4513
100,3981,0,select,4637
100,5011,0,select,4951
100,6309,0,select,5483
100,7943,0,select,5620
100,10000,0,select,5948
100,12589,0,select,6634
100,15848,0,select,7064
100,19952,0,select,7809
10000,10000,0,select,520
10000,12589,0,select,517
10000,15848,0,select,529
10000,19952,0,select,541
10000,25118,0,select,559
10000,31622,0,select,573
10000,39810,0,select,587
10000,50118,0,select,613
10000,63095,0,select,652
10000,79432,0,select,691
10000,100000,0,select,748
10000,125892,0,select,838
10000,158489,0,select,918
10000,199526,0,select,1015
10000,251188,0,select,1086
10000,316227,0,select,1598
10000,398107,0,select,1829
10000,501187,0,select,2149
10000,630957,0,select,2615
10000,794328,0,select,3113
10000,1000000,0,select,3897
10000,1258925,0,select,4853
10000,1584893,0,select,5811
10000,1995262,0,select,6899
10000,2511886,0,select,8879
1000000,1000000,0,select,821
1000000,1258925,0,select,881
1000000,1584893,0,select,1063
1000000,1995262,0,select,1196
1000000,2511886,0,select,1506
1000000,3162277,0,select,1360
1000000,3981071,0,select,1349
1000000,5011872,0,select,1460
1000000,6309573,0,select,1517
1000000,7943282,0,select,1608
1000000,10000000,0,select,1690
1000000,12589254,0,select,1919
1000000,15848931,0,select,1838
1000000,19952623,0,select,2006
1000000,25118864,0,select,2260
1000000,31622776,0,select,2385
1000000,39810717,0,select,2684
1000000,50118723,0,select,3016
1000000,63095734,0,select,3489
1000000,79432823,0,select,4077
1000000,100000000,0,select,4748
1000000,125892541,0,select,5531
1000000,158489319,0,select,6637
1000000,199526231,0,select,8058
