num,max,min,type,time
100,100,0,unique1,6244
100,125,0,unique1,4707
100,158,0,unique1,4553
100,199,0,unique1,4569
100,251,0,unique1,4623
100,316,0,unique1,4586
100,398,0,unique1,4562
100,501,0,unique1,4565
100,630,0,unique1,4559
100,794,0,unique1,4566
100,1000,0,unique1,4552
100,1258,0,unique1,4541
100,1584,0,unique1,4531
100,1995,0,unique1,4518
100,2511,0,unique1,4518
100,3162,0,unique1,4515
100,3981,0,unique1,4521
100,5011,0,unique1,4532
100,6309,0,unique1,4580
100,7943,0,unique1,4547
100,10000,0,unique1,4519
100,12589,0,unique1,4582
100,15848,0,unique1,4534
100,19952,0,unique1,4515
100,25118,0,unique1,4511
100,31622,0,unique1,4536
100,39810,0,unique1,4518
100,50118,0,unique1,4518
100,63095,0,unique1,4553
100,79432,0,unique1,4602
10000,10000,0,unique1,9294
10000,12589,0,unique1,1783
10000,15848,0,unique1,1810
10000,19952,0,unique1,1814
10000,25118,0,unique1,1790
10000,31622,0,unique1,1783
10000,39810,0,unique1,1776
10000,50118,0,unique1,1756
10000,63095,0,unique1,1760
10000,79432,0,unique1,1807
10000,100000,0,unique1,1779
10000,125892,0,unique1,1772
10000,158489,0,unique1,1788
10000,199526,0,unique1,1794
10000,251188,0,unique1,1758
10000,316227,0,unique1,1748
10000,398107,0,unique1,1737
10000,501187,0,unique1,1737
10000,630957,0,unique1,1748
10000,794328,0,unique1,1743
10000,1000000,0,unique1,1773
10000,1258925,0,unique1,1734
10000,1584893,0,unique1,1733
10000,1995262,0,unique1,1739
10000,2511886,0,unique1,1729
10000,3162277,0,unique1,1743
10000,3981071,0,unique1,1756
10000,5011872,0,unique1,1751
10000,6309573,0,unique1,1804
10000,7943282,0,unique1,1763
1000000,1000000,0,unique1,19985
1000000,1258925,0,unique1,2303
1000000,1584893,0,unique1,2311
1000000,1995262,0,unique1,2299
1000000,2511886,0,unique1,2305
1000000,3162277,0,unique1,2299
1000000,3981071,0,unique1,2302
1000000,5011872,0,unique1,2296
1000000,6309573,0,unique1,2289
1000000,7943282,0,unique1,2283
1000000,10000000,0,unique1,2277
1000000,12589254,0,unique1,2285
1000000,15848931,0,unique1,2281
1000000,19952623,0,unique1,2281
1000000,25118864,0,unique1,2278
1000000,31622776,0,unique1,2291
1000000,39810717,0,unique1,2273
1000000,50118723,0,unique1,2286
1000000,63095734,0,unique1,2258
1000000,79432823,0,unique1,2280
1000000,100000000,0,unique1,2287
1000000,125892541,0,unique1,2297
1000000,158489319,0,unique1,2321
1000000,199526231,0,unique1,2295
1000000,251188643,0,unique1,2302
1000000,316227766,0,unique1,2360
1000000,398107170,0,unique1,2352
1000000,501187233,0,unique1,2341
1000000,630957344,0,unique1,2332
1000000,794328234,0,unique1,2356
100,100,0,unique2,6170
100,125,0,unique2,4683
100,158,0,unique2,4604
100,199,0,unique2,4620
100,251,0,unique2,4609
100,316,0,unique2,4611
100,398,0,unique2,4627
100,501,0,unique2,4630
100,630,0,unique2,4614
100,794,0,unique2,4589
100,1000,0,unique2,4594
100,1258,0,unique2,4594
100,1584,0,unique2,4613
100,1995,0,unique2,4581
100,2511,0,unique2,4581
100,3162,0,unique2,4590
100,3981,0,unique2,4600
100,5011,0,unique2,4570
100,6309,0,unique2,4590
100,7943,0,unique2,4581
100,10000,0,unique2,4706
100,12589,0,unique2,4621
100,15848,0,unique2,4613
100,19952,0,unique2,4587
100,25118,0,unique2,4604
100,31622,0,unique2,4577
100,39810,0,unique2,4561
100,50118,0,unique2,4559
